City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,66.2,72,75,10.36,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,79.29,73,5,12.08,clear sky
2,Albany,US,42.6001,-73.9662,34.0,65,100,7.0,overcast clouds
3,Maniitsoq,GL,65.4167,-52.9,2.62,81,7,6.11,clear sky
4,Hervey Bay,AU,-25.2986,152.8535,75.0,81,25,8.01,scattered clouds
5,Kardailovo,RU,51.5386,53.9042,-7.38,87,100,6.73,overcast clouds
6,Brandfort,ZA,-28.7001,26.4597,59.0,82,0,5.75,clear sky
7,Lebu,CL,-37.6167,-73.65,57.54,75,0,12.62,clear sky
8,Pimentel,PE,-6.8367,-79.9342,78.8,57,0,24.16,clear sky
9,Atuona,PF,-9.8,-139.0333,79.27,78,21,14.56,few clouds
10,Launceston,AU,-41.45,147.1667,68.0,63,40,5.75,scattered clouds
11,Olinda,BR,-8.0089,-34.8553,80.6,69,40,10.36,scattered clouds
12,Jamestown,US,42.097,-79.2353,18.0,86,90,14.97,mist
13,Dauphin,CA,51.1494,-100.0502,1.4,60,1,3.44,clear sky
14,Hilo,US,19.7297,-155.09,80.6,61,90,12.66,overcast clouds
15,Georgetown,MY,5.4112,100.3354,79.0,83,20,6.69,few clouds
16,Takoradi,GH,4.8845,-1.7554,80.82,84,93,7.36,overcast clouds
17,Tacotalpa,MX,17.6,-92.8167,78.8,69,75,4.61,haze
18,Busselton,AU,-33.65,115.3333,60.01,98,0,6.08,clear sky
19,Dalianwan,CN,39.0286,121.695,14.0,57,40,13.42,scattered clouds
20,Provideniya,RU,64.3833,-173.3,-0.4,65,0,29.08,clear sky
21,Saint George,US,37.1041,-113.5841,55.0,22,75,9.22,broken clouds
22,Sitka,US,57.0531,-135.33,37.4,87,90,4.99,mist
23,Mahebourg,MU,-20.4081,57.7,77.0,94,20,3.44,few clouds
24,Port Elizabeth,ZA,-33.918,25.5701,66.2,68,0,11.5,clear sky
25,Coquimbo,CL,-29.9533,-71.3436,66.2,63,0,9.22,clear sky
26,Yulara,AU,-25.2406,130.9889,84.2,24,0,14.97,clear sky
27,Ngama,TD,11.7833,17.1667,69.8,23,0,12.84,clear sky
28,Thompson,CA,55.7435,-97.8558,3.2,66,20,4.61,few clouds
29,Akyab,MM,20.15,92.9,62.85,75,0,7.11,clear sky
30,Avarua,CK,-21.2078,-159.775,84.2,79,20,8.05,few clouds
31,Ushuaia,AR,-54.8,-68.3,55.4,67,75,5.75,light rain
32,Punta Arenas,CL,-53.15,-70.9167,59.0,58,0,5.75,clear sky
33,Kamaishi,JP,39.2667,141.8833,26.6,93,75,11.5,light snow
34,Mabaruma,GY,8.2,-59.7833,73.62,80,97,4.83,overcast clouds
35,San Patricio,US,28.017,-97.5169,35.6,80,90,16.11,light intensity drizzle
36,Souillac,MU,-20.5167,57.5167,77.0,94,20,3.44,few clouds
37,East London,ZA,-33.0153,27.9116,65.88,69,58,7.87,broken clouds
38,Saint-Joseph,RE,-21.3667,55.6167,78.8,73,90,5.75,overcast clouds
39,Marfino,RU,55.7028,37.3822,10.4,79,20,8.95,snow
40,Hobart,AU,-42.8794,147.3294,71.01,52,20,12.66,few clouds
41,Loikaw,MM,19.6742,97.2094,58.21,53,0,2.26,clear sky
42,Berdigestyakh,RU,62.0989,126.6992,-32.15,83,21,2.86,few clouds
43,Mataura,NZ,-46.1927,168.8643,57.99,61,12,3.0,few clouds
44,Basco,PH,20.4487,121.9702,72.7,71,77,13.09,broken clouds
45,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,9.22,light snow
46,Mastung,PK,29.7994,66.845,41.99,49,0,0.6,clear sky
47,Guerrero Negro,MX,27.9769,-114.0611,62.33,63,98,19.51,overcast clouds
48,Qaanaaq,GL,77.484,-69.3632,-7.76,87,99,4.05,overcast clouds
49,Vaini,TO,-21.2,-175.2,86.0,70,20,8.05,few clouds
